pc,pv,pm,pop_size,n_ger,run,best_fitness
0.5,0.5,0.01,100,100,0,543
0.5,0.5,0.01,100,100,1,491
0.5,0.5,0.01,100,100,2,512
0.5,0.5,0.01,100,100,3,496
0.5,0.5,0.01,100,100,4,538
0.5,0.5,0.01,100,100,5,526
0.5,0.5,0.01,100,100,6,548
0.5,0.5,0.01,100,100,7,513
0.5,0.5,0.01,100,100,8,518
0.5,0.5,0.01,100,100,9,512
0.5,0.5,0.01,100,200,0,498
0.5,0.5,0.01,100,200,1,530
0.5,0.5,0.01,100,200,2,525
0.5,0.5,0.01,100,200,3,514
0.5,0.5,0.01,100,200,4,545
0.5,0.5,0.01,100,200,5,531
0.5,0.5,0.01,100,200,6,495
0.5,0.5,0.01,100,200,7,512
0.5,0.5,0.01,100,200,8,541
0.5,0.5,0.01,100,200,9,478
0.5,0.5,0.01,200,100,0,506
0.5,0.5,0.01,200,100,1,465
0.5,0.5,0.01,200,100,2,509
0.5,0.5,0.01,200,100,3,465
0.5,0.5,0.01,200,100,4,499
0.5,0.5,0.01,200,100,5,497
0.5,0.5,0.01,200,100,6,471
0.5,0.5,0.01,200,100,7,493
0.5,0.5,0.01,200,100,8,469
0.5,0.5,0.01,200,100,9,507
0.5,0.5,0.01,200,200,0,492
0.5,0.5,0.01,200,200,1,505
0.5,0.5,0.01,200,200,2,530
0.5,0.5,0.01,200,200,3,512
0.5,0.5,0.01,200,200,4,492
0.5,0.5,0.01,200,200,5,505
0.5,0.5,0.01,200,200,6,486
0.5,0.5,0.01,200,200,7,493
0.5,0.5,0.01,200,200,8,495
0.5,0.5,0.01,200,200,9,481
0.5,0.5,0.05,100,100,0,537
0.5,0.5,0.05,100,100,1,514
0.5,0.5,0.05,100,100,2,443
0.5,0.5,0.05,100,100,3,488
0.5,0.5,0.05,100,100,4,528
0.5,0.5,0.05,100,100,5,508
0.5,0.5,0.05,100,100,6,508
0.5,0.5,0.05,100,100,7,524
0.5,0.5,0.05,100,100,8,494
0.5,0.5,0.05,100,100,9,511
0.5,0.5,0.05,100,200,0,531
0.5,0.5,0.05,100,200,1,540
0.5,0.5,0.05,100,200,2,557
0.5,0.5,0.05,100,200,3,487
0.5,0.5,0.05,100,200,4,507
0.5,0.5,0.05,100,200,5,533
0.5,0.5,0.05,100,200,6,496
0.5,0.5,0.05,100,200,7,479
0.5,0.5,0.05,100,200,8,487
0.5,0.5,0.05,100,200,9,592
0.5,0.5,0.05,200,100,0,527
0.5,0.5,0.05,200,100,1,504
0.5,0.5,0.05,200,100,2,491
0.5,0.5,0.05,200,100,3,507
0.5,0.5,0.05,200,100,4,491
0.5,0.5,0.05,200,100,5,505
0.5,0.5,0.05,200,100,6,483
0.5,0.5,0.05,200,100,7,495
0.5,0.5,0.05,200,100,8,498
0.5,0.5,0.05,200,100,9,532
0.5,0.5,0.05,200,200,0,435
0.5,0.5,0.05,200,200,1,499
0.5,0.5,0.05,200,200,2,492
0.5,0.5,0.05,200,200,3,533
0.5,0.5,0.05,200,200,4,519
0.5,0.5,0.05,200,200,5,540
0.5,0.5,0.05,200,200,6,540
0.5,0.5,0.05,200,200,7,471
0.5,0.5,0.05,200,200,8,490
0.5,0.5,0.05,200,200,9,479
0.5,0.5,0.1,100,100,0,508
0.5,0.5,0.1,100,100,1,546
0.5,0.5,0.1,100,100,2,500
0.5,0.5,0.1,100,100,3,505
0.5,0.5,0.1,100,100,4,544
0.5,0.5,0.1,100,100,5,475
0.5,0.5,0.1,100,100,6,553
0.5,0.5,0.1,100,100,7,466
0.5,0.5,0.1,100,100,8,486
0.5,0.5,0.1,100,100,9,494
0.5,0.5,0.1,100,200,0,506
0.5,0.5,0.1,100,200,1,511
0.5,0.5,0.1,100,200,2,539
0.5,0.5,0.1,100,200,3,488
0.5,0.5,0.1,100,200,4,525
0.5,0.5,0.1,100,200,5,534
0.5,0.5,0.1,100,200,6,541
0.5,0.5,0.1,100,200,7,519
0.5,0.5,0.1,100,200,8,541
0.5,0.5,0.1,100,200,9,470
0.5,0.5,0.1,200,100,0,497
0.5,0.5,0.1,200,100,1,506
0.5,0.5,0.1,200,100,2,509
0.5,0.5,0.1,200,100,3,520
0.5,0.5,0.1,200,100,4,497
0.5,0.5,0.1,200,100,5,470
0.5,0.5,0.1,200,100,6,514
0.5,0.5,0.1,200,100,7,485
0.5,0.5,0.1,200,100,8,450
0.5,0.5,0.1,200,100,9,457
0.5,0.5,0.1,200,200,0,521
0.5,0.5,0.1,200,200,1,485
0.5,0.5,0.1,200,200,2,506
0.5,0.5,0.1,200,200,3,530
0.5,0.5,0.1,200,200,4,493
0.5,0.5,0.1,200,200,5,507
0.5,0.5,0.1,200,200,6,524
0.5,0.5,0.1,200,200,7,528
0.5,0.5,0.1,200,200,8,480
0.5,0.5,0.1,200,200,9,523
0.5,0.7,0.01,100,100,0,511
0.5,0.7,0.01,100,100,1,451
0.5,0.7,0.01,100,100,2,468
0.5,0.7,0.01,100,100,3,495
0.5,0.7,0.01,100,100,4,465
0.5,0.7,0.01,100,100,5,485
0.5,0.7,0.01,100,100,6,505
